,indicator,Date,Value
0,Population inactive,2015,3747098
1,Population inactive,2016,3554969
2,Population inactive,2016,3050164
3,Population inactive,2016,3119062
4,Population inactive,2017,3599866
5,Population inactive,2017,3994366
6,Population inactive,2017,3676476
7,Population inactive,2017,3723608
8,Population inactive,2018,4013676
9,Population inactive,2018,3794883
10,Population inactive,2018,3445481
11,Population inactive,2018,3489009
12,Population inactive,2019,3504231
13,Population inactive,2019,3382035
14,Population inactive,2019,3547104
15,Population inactive,2019,3804313
16,Population inactive,2020,4511181
17,Population inactive,2020,4938393
18,Population inactive,2020,4424804
19,Population inactive,2020,4096215
20,Population inactive,2021,3980671
21,Population inactive,2021,3743374
22,Population inactive,2021,3647096
23,Population inactive,2021,4137625
24,Population inactive,2022,4354039
25,Population inactive,2022,4182368
26,Population inactive,2022,4182972
27,Population inactive,2022,4121291
28,Population Active,2015,4305969
29,Population Active,2016,4550321
30,Population Active,2016,4818580
31,Population Active,2016,4248433
32,Population Active,2017,4633205
33,Population Active,2017,4962117
34,Population Active,2017,4514092
35,Population Active,2017,4597834
36,Population Active,2018,4531096
37,Population Active,2018,4882211
38,Population Active,2018,5163946
39,Population Active,2018,5499413
40,Population Active,2019,5876300
41,Population Active,2019,5739381
42,Population Active,2019,5624944
43,Population Active,2019,5546594
44,Population Active,2020,5206705
45,Population Active,2020,4938393
46,Population Active,2020,5293083
47,Population Active,2020,5626797
48,Population Active,2021,6075069
49,Population Active,2021,6312366
50,Population Active,2021,6409233
51,Population Active,2021,5918115
52,Population Active,2022,6015888
53,Population Active,2022,6187558
54,Population Active,2022,6186954
55,Population Active,2022,6238802
